Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
ISLES2022,Fold,3,checkpoint_final.pth,110,drop_dwi,FLAIR+ADC,DWI,1,Lesion,50,50,0.611408361504963,0.48979782763501717,17.853950268742324,,0.611408361504963,,Fold case mean; NaN excluded
ISLES2022,Fold,3,checkpoint_final.pth,101,drop_adc,FLAIR+DWI,ADC,1,Lesion,50,50,0.7698761783264035,0.6551840404166365,10.973586413727311,,0.7698761783264035,,Fold case mean; NaN excluded
ISLES2022,Fold,3,checkpoint_final.pth,011,drop_flair,ADC+DWI,FLAIR,1,Lesion,50,50,0.7562949981248442,0.6436226821490769,11.438265186685427,,0.7562949981248442,,Fold case mean; NaN excluded
ISLES2022,Fold,3,checkpoint_final.pth,111,none,FLAIR+ADC+DWI,none,0,Lesion,50,50,0.7803021079874661,0.6658424453168676,8.6746083065033,,0.7803021079874661,,Fold case mean; NaN excluded
ISLES2022,Fold,4,checkpoint_final.pth,100,drop_adc_dwi,FLAIR,ADC+DWI,2,Lesion,50,49,0.5086579854304452,0.3904719332388226,22.192317995172754,,0.5086579854304452,,Fold case mean; NaN excluded
ISLES2022,Fold,4,checkpoint_final.pth,010,drop_flair_dwi,ADC,FLAIR+DWI,2,Lesion,50,50,0.48423273107688564,0.37966920572111723,26.54861661292166,,0.48423273107688564,,Fold case mean; NaN excluded
ISLES2022,Fold,4,checkpoint_final.pth,001,drop_flair_adc,DWI,FLAIR+ADC,2,Lesion,50,49,0.8361502066211522,0.7279667214439911,5.79766356424409,,0.8361502066211522,,Fold case mean; NaN excluded
ISLES2022,Fold,4,checkpoint_final.pth,110,drop_dwi,FLAIR+ADC,DWI,1,Lesion,50,49,0.7203583900536549,0.5930958333264329,9.938922072932872,,0.7203583900536549,,Fold case mean; NaN excluded
ISLES2022,Fold,4,checkpoint_final.pth,101,drop_adc,FLAIR+DWI,ADC,1,Lesion,50,49,0.8375753717358705,0.7298691634662962,6.749199377097197,,0.8375753717358705,,Fold case mean; NaN excluded
ISLES2022,Fold,4,checkpoint_final.pth,011,drop_flair,ADC+DWI,FLAIR,1,Lesion,50,49,0.8411599056424451,0.7356442298104705,6.052495647629255,,0.8411599056424451,,Fold case mean; NaN excluded
ISLES2022,Fold,4,checkpoint_final.pth,111,none,FLAIR+ADC+DWI,none,0,Lesion,50,49,0.8390239266506904,0.7330114936041934,7.024493397110646,,0.8390239266506904,,Fold case mean; NaN excluded
ISLES2022,5-fold OOF pooled,all,checkpoint_final.pth,100,drop_adc_dwi,FLAIR,ADC+DWI,2,Lesion,250,249,0.4603594837320069,0.3505739840070356,27.121564992847034,,0.4603594837320069,0.5826046760762305,Pooled OOF case mean; NaN excluded
ISLES2022,5-fold OOF pooled,all,checkpoint_final.pth,010,drop_flair_dwi,ADC,FLAIR+DWI,2,Lesion,250,248,0.4591931402140023,0.3512992419195526,29.634962163235592,,0.4591931402140023,0.5811286183180802,Pooled OOF case mean; NaN excluded
ISLES2022,5-fold OOF pooled,all,checkpoint_final.pth,001,drop_flair_adc,DWI,FLAIR+ADC,2,Lesion,250,247,0.7712323177548395,0.6646715367138094,9.225635185676504,,0.7712323177548395,0.9760275839709807,Pooled OOF case mean; NaN excluded
ISLES2022,5-fold OOF pooled,all,checkpoint_final.pth,110,drop_dwi,FLAIR+ADC,DWI,1,Lesion,250,247,0.645745147669602,0.5220047859780553,15.912441598575075,,0.645745147669602,0.8172181868308266,Pooled OOF case mean; NaN excluded
ISLES2022,5-fold OOF pooled,all,checkpoint_final.pth,101,drop_adc,FLAIR+DWI,ADC,1,Lesion,250,247,0.7838243884103676,0.675523745844143,8.172689368534511,,0.7838243884103676,0.9919633895851508,Pooled OOF case mean; NaN excluded
ISLES2022,5-fold OOF pooled,all,checkpoint_final.pth,011,drop_flair,ADC+DWI,FLAIR,1,Lesion,250,247,0.7833237910475963,0.6763514908523434,8.215603020380259,,0.7833237910475963,0.9913298621469461,Pooled OOF case mean; NaN excluded
ISLES2022,5-fold OOF pooled,all,checkpoint_final.pth,111,none,FLAIR+ADC+DWI,none,0,Lesion,250,247,0.790174714752498,0.6827742010499291,7.775599404906352,,0.790174714752498,1,Pooled OOF case mean; NaN excluded
