Fold,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Case,Dice,IoU,HD95_mm,ASSD_mm,TP,FP,FN,N_Pred,N_Ref,Pred_Empty,Ref_Empty,Spacing_ZYX
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_134,0.8193077167354715,0.6939214631522324,2.929799795150757,0.6424795804511111,3870,1096,611,4966,4481,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_135,0.880466472303207,0.7864583333333334,2.2923764570765606,0.45336936551583645,14194,3421,433,17615,14627,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_136,0.7168262653898769,0.55863539445629,2.9719199180603044,0.6388977958541276,262,148,59,410,321,false,false,"(3.0, 0.976599931716919, 1.199997901916504)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_138,0.6929740134744947,0.5301914580265096,6.232531580906441,1.078233738971992,360,144,175,504,535,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_139,0.7425275301520713,0.5904920767306089,2.4000000953674316,0.551894250018704,708,262,229,970,937,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_140,0.8691174709615614,0.7685302837780601,1.2000000476837158,0.3045465147486438,3629,932,161,4561,3790,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_141,0.602308499475341,0.43093093093093093,7.454449325462087,1.486354523027625,287,109,270,396,557,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_142,0.8638118638118638,0.7602718566573988,1.5471740500248867,0.3962414026940502,7383,2169,159,9552,7542,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_143,0.8818033516239063,0.7885941644562334,1.2000000476837158,0.2985830627168642,2973,661,136,3634,3109,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_145,0.8448372615039281,0.7313577847947534,1.2000000476837158,0.38464023650112045,3011,835,271,3846,3282,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_146,0.7513276379589009,0.6017011834319527,3.7301137323944658,0.7355891264613644,1627,569,508,2196,2135,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_147,0.7779960707269156,0.6366559485530546,3,0.6210753356510723,1782,649,368,2431,2150,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_148,0.77847891066091,0.6373028820010875,3.0943481000497735,3.706288666346286,3516,1879,122,5395,3638,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_149,0.7389483480688692,0.5859778597785977,2.4000000953674316,0.5258909668310733,1588,1000,122,2588,1710,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_160,0.8278741795021771,0.7063014610074575,2.157283875353723,0.6613829766296867,25477,7787,2807,33264,28284,false,false,"(3.0, 1.0416665077209473, 0.55999755859375)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_161,0.8313228378654672,0.7113365990202939,1.1826522645894333,0.3040396668503341,6099,1861,614,7960,6713,false,false,"(3.0, 1.0416665077209473, 0.55999755859375)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_162,0.7351930740689845,0.5812690134724033,3.0518186816439408,0.7037908858214565,2675,1090,837,3765,3512,false,false,"(3.0, 1.0416665077209473, 0.55999755859375)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_163,0.649802371541502,0.4812646370023419,18.35123703095862,1.9737047780326245,411,201,242,612,653,false,false,"(3.0, 1.0416667461395264, 0.5600060820579529)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_164,0.8087323244852394,0.6788837984173262,3,0.5525263611608718,1630,464,307,2094,1937,false,false,"(3.0, 1.0416665077209473, 0.55999755859375)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_165,0.7980117487573429,0.6639097744360902,2.0833330154418945,0.49990711670523225,1766,379,515,2145,2281,false,false,"(3.0, 1.0416665077209473, 0.55999755859375)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_166,0.8683544303797468,0.767337807606264,1.529528743054996,0.9506184164125605,5145,998,562,6143,5707,false,false,"(3.0, 1.0416665077209473, 0.55999755859375)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_167,0.7409939236111112,0.5885546841334137,37.89945388965307,2.8784898756759087,6829,2537,2237,9366,9066,false,false,"(3.0, 1.0416665077209473, 0.55999755859375)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_168,0.5879120879120879,0.4163424124513619,50.244052509396774,5.234643656354789,321,70,380,391,701,false,false,"(3.0, 1.0416665077209473, 0.5600128173828125)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_Philips_VU_PETMR_01_169,0.8323363932484453,0.7128220734428891,2.0833330154418945,0.4217620651024169,7027,1588,1243,8615,8270,false,false,"(3.0, 1.0416665077209473, 0.5600128173828125)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_070,0.7948442534908701,0.6595365418894831,3.000000476837158,0.5016870577540595,2220,910,236,3130,2456,false,false,"(3.000000476837158, 0.9999999403953552, 0.9999999403953552)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_071,0.9041095890410958,0.825,1,0.5086178752747533,7623,761,856,8384,8479,false,false,"(2.999997615814209, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_072,0.8971180501072232,0.8134307123209713,2.8284270404524943,0.8017491322289279,25728,3247,2654,28975,28382,false,false,"(3.00000262260437, 0.9999999403953552, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_073,0.52,0.35135135135135137,28.948239640509726,3.926583262481535,312,245,331,557,643,false,false,"(3.0000011920928955, 1.0, 0.9999999403953552)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_074,0.779404341241797,0.6385442514474773,3.1622742674127227,0.6731178418543924,772,189,248,961,1020,false,false,"(2.9999964237213135, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_075,0.7379310344827587,0.5846994535519126,3.1622801481894514,0.7534690556428063,321,97,131,418,452,false,false,"(3.00000262260437, 1.0, 0.9999999403953552)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_076,0.6877049180327869,0.5240474703310432,3.741656813293556,1.0172574164267485,839,97,665,936,1504,false,false,"(2.9999992847442627, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_077,0.8046006720082709,0.6730810810810811,2.9999990463256836,0.46648659537079684,3113,626,886,3739,3999,false,false,"(2.9999990463256836, 1.0, 1.0)"
