Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
BraTS2021,Fold,0,checkpoint_best.pth,0110,drop_t2_flair,T1ce+T1,FLAIR+T2,2,WT,251,251,0.8080285676596315,0.6996585832506419,5.970250219408371,,0.8518757317112514,0.9435796998046888,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0110,drop_t2_flair,T1ce+T1,FLAIR+T2,2,TC,251,251,0.9021495496469693,0.8494886026207167,2.4522404810379586,,0.8518757317112514,0.9435796998046888,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0110,drop_t2_flair,T1ce+T1,FLAIR+T2,2,ET,251,251,0.8454490778271535,0.7742680617606745,3.054030322378106,,0.8518757317112514,0.9435796998046888,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0101,drop_t1_flair,T1ce+T2,FLAIR+T1,2,WT,251,251,0.8905704265594192,0.8122032182136081,3.4235326821766434,,0.8809609455734201,0.9757959214238798,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0101,drop_t1_flair,T1ce+T2,FLAIR+T1,2,TC,251,251,0.905895942924458,0.854244068460268,1.8442855221247536,,0.8809609455734201,0.9757959214238798,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0101,drop_t1_flair,T1ce+T2,FLAIR+T1,2,ET,251,251,0.8464164672363832,0.7752214236582803,2.4594118086746337,,0.8809609455734201,0.9757959214238798,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0011,drop_t1ce_flair,T1+T2,FLAIR+T1ce,2,WT,251,251,0.8870430754334672,0.806996177808592,3.089440128632364,,0.7404830371787083,0.8201956411271264,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0011,drop_t1ce_flair,T1+T2,FLAIR+T1ce,2,TC,251,251,0.752213872555443,0.6357762368263654,5.176885785279205,,0.7404830371787083,0.8201956411271264,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0011,drop_t1ce_flair,T1+T2,FLAIR+T1ce,2,ET,251,251,0.5821921635472149,0.4420452667576436,6.863886021184979,,0.7404830371787083,0.8201956411271264,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1110,drop_t2,FLAIR+T1ce+T1,T2,1,WT,251,251,0.9296161592797824,0.8741524812529778,2.1577863864842577,,0.901235424639343,0.998252937346015,Fold case mean; NaN excluded
